CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC112357,01/10/2019 03:30:00 PM,051XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1532,28,08B,1141869,1901453,41.885651645,-87.754488753,"(41.885651645, -87.754488753)"
JC107036,01/06/2019 04:00:00 PM,037XX N PIONEER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1631,38,11,1120734,1923837,41.947441522,-87.831621579,"(41.947441522, -87.831621579)"
JC108950,01/07/2019 10:00:00 PM,004XX E 33RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,211,4,14,1179504,1883151,41.834650079,-87.616847182,"(41.834650079, -87.616847182)"
JC113356,01/11/2019 06:24:00 PM,091XX S ASHLAND AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,Y,N,2221,21,26,1167273,1844191,41.728010171,-87.662840557,"(41.728010171, -87.662840557)"
JC106898,01/06/2019 01:45:00 PM,050XX N WINTHROP AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,2033,48,08B,1167955,1933907,41.974184283,-87.657756697,"(41.974184283, -87.657756697)"
JC114203,01/11/2019 08:00:00 PM,0000X W 114TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,522,34,14,1177941,1829376,41.687121094,-87.624208749,"(41.687121094, -87.624208749)"
JC112002,01/10/2019 12:30:00 PM,046XX N ELSTON AVE,0810,THEFT,OVER $500,ATHLETIC CLUB,N,N,1722,39,06,1146385,1930786,41.966059402,-87.737155987,"(41.966059402, -87.737155987)"
JC112284,01/10/2019 09:47:00 PM,010XX N SPRINGFIELD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1112,37,06,1150193,1906754,41.900039997,-87.72378279,"(41.900039997, -87.72378279)"
JC110193,01/08/2019 10:30:00 PM,053XX W BELLE PLAINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1624,38,14,1140121,1926745,41.955087829,-87.760287212,"(41.955087829, -87.760287212)"
JC105929,01/05/2019 04:10:00 PM,035XX W CERMAK RD,0560,ASSAULT,SIMPLE,STREET,N,N,1024,24,08A,1153310,1889156,41.851687867,-87.712801221,"(41.851687867, -87.712801221)"
JC104214,01/04/2019 11:07:00 AM,002XX S STATE ST,0460,BATTERY,SIMPLE,CTA STATION,N,N,113,42,08B,1176417,1899156,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
JC106882,01/05/2019 09:00:00 PM,024XX E 77TH ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,421,7,06,1193725,1854382,41.755368881,-87.565610193,"(41.755368881, -87.565610193)"
JC112396,01/11/2019 12:30:00 AM,077XX S EAST END AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,N,Y,414,8,04B,1188881,1853933,41.754254031,-87.58337625,"(41.754254031, -87.58337625)"
JC103926,01/04/2019 01:00:00 AM,008XX W BELMONT AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,N,N,1933,44,06,1169914,1921450,41.939959236,-87.650917732,"(41.939959236, -87.650917732)"
JC108808,01/08/2019 05:51:00 AM,025XX W 63RD ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,N,Y,825,16,04B,1160703,1862802,41.779219485,-87.68639517,"(41.779219485, -87.68639517)"
JC108557,01/07/2019 07:30:00 PM,005XX W DEMING PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1935,43,14,1172179,1917251,41.928387232,-87.642717529,"(41.928387232, -87.642717529)"
JC112213,01/10/2019 08:17:00 PM,022XX N CICERO AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,2522,36,24,1144032,1914378,41.92107896,-87.746220847,"(41.92107896, -87.746220847)"
JC106611,01/06/2019 07:09:00 AM,039XX N JANSSEN AVE,0460,BATTERY,SIMPLE,APARTMENT,Y,N,1922,47,08B,1165820,1926347,41.953485281,-87.665824234,"(41.953485281, -87.665824234)"
JC108280,01/04/2019 07:00:00 AM,013XX N KARLOV AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,N,N,2534,37,03,1148808,1908492,41.904836137,-87.728824986,"(41.904836137, -87.728824986)"
JC113237,01/11/2019 04:45:00 PM,131XX S ELLIS AVE,0460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,N,N,533,9,08B,1185279,1818451,41.656972482,-87.59768703,"(41.656972482, -87.59768703)"
JC116423,01/10/2019 08:00:00 AM,023XX W 21ST PL,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",N,N,1234,25,17,1161200,1889685,41.852979389,-87.683828168,"(41.852979389, -87.683828168)"
JC112998,01/11/2019 02:37:00 AM,059XX N PAULINA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2012,40,14,1164151,1939414,41.989377142,-87.671588574,"(41.989377142, -87.671588574)"
JC110444,01/09/2019 12:35:00 PM,103XX S ELIZABETH ST,0460,BATTERY,SIMPLE,RESIDENCE,Y,N,2232,34,08B,1169846,1836216,41.706070186,-87.653645803,"(41.706070186, -87.653645803)"
JC107043,01/06/2019 10:00:00 AM,079XX S LAFAYETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,623,17,14,1177319,1852276,41.749975786,-87.625796832,"(41.749975786, -87.625796832)"
JC107264,01/06/2019 07:26:00 PM,015XX N DAMEN AVE,0810,THEFT,OVER $500,STREET,N,N,1424,1,06,1162779,1910555,41.910215525,-87.677447307,"(41.910215525, -87.677447307)"
JC105564,01/05/2019 10:39:00 AM,020XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1014,24,18,1150033,1889849,41.853653898,-87.724810713,"(41.853653898, -87.724810713)"
JC109041,01/08/2019 10:00:00 AM,006XX E 79TH ST,0560,ASSAULT,SIMPLE,OTHER,N,N,624,6,08A,1182051,1852772,41.751228774,-87.608441565,"(41.751228774, -87.608441565)"
JC111216,01/10/2019 01:00:00 AM,047XX S DR MARTIN LUTHER KING JR SD,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,N,N,224,3,04A,1179585,1873770,41.808906022,-87.616837015,"(41.808906022, -87.616837015)"
JC111656,01/10/2019 12:35:00 PM,002XX E 135TH PL,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,533,9,06,1180195,1815478,41.648931657,-87.616380495,"(41.648931657, -87.616380495)"
JC107247,01/06/2019 08:00:00 PM,038XX W THOMAS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1112,27,14,1150729,1907066,41.900885688,-87.721805866,"(41.900885688, -87.721805866)"
JC104917,01/04/2019 07:30:00 PM,062XX S HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,714,16,14,1163437,1863313,41.780564857,-87.676357691,"(41.780564857, -87.676357691)"
JC106790,01/06/2019 11:34:00 AM,013XX N MASSASOIT AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,2531,29,24,1137771,1908241,41.904353636,-87.769373807,"(41.904353636, -87.769373807)"
JC108611,01/07/2019 08:30:00 PM,032XX S WALLACE ST,0820,THEFT,$500 AND UNDER,STREET,N,N,915,11,06,1172822,1883526,41.835829436,-87.641353996,"(41.835829436, -87.641353996)"
JC108349,01/07/2019 04:30:00 PM,045XX N CLARENDON AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1914,46,08B,1170091,1930547,41.96491786,-87.650000625,"(41.96491786, -87.650000625)"
JC112680,01/11/2019 08:00:00 AM,061XX S RHODES AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,313,20,08B,1180954,1864522,41.783497266,-87.612100439,"(41.783497266, -87.612100439)"
JC108149,01/07/2019 02:15:00 PM,005XX N DESPLAINES ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,1214,27,08B,1171836,1903814,41.891522971,-87.644374529,"(41.891522971, -87.644374529)"
JC107281,01/06/2019 08:20:00 AM,033XX S COTTAGE GROVE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,Y,211,4,04A,1180901,1882956,41.834082895,-87.611727281,"(41.834082895, -87.611727281)"
JC107069,01/06/2019 11:30:00 AM,006XX W OHARE ST,0890,THEFT,FROM BUILDING,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,N,N,1654,41,06,1098141,1928580,41.960789926,-87.914585337,"(41.960789926, -87.914585337)"
JC112487,01/11/2019 12:00:00 AM,001XX E 23RD ST,0810,THEFT,OVER $500,STREET,N,N,132,3,06,1177930,1889144,41.851131184,-87.622440542,"(41.851131184, -87.622440542)"
JC104813,01/04/2019 05:45:00 PM,002XX N JEFFERSON ST,0810,THEFT,OVER $500,STREET,N,N,1214,42,06,1172286,1901798,41.885981015,-87.642781484,"(41.885981015, -87.642781484)"
JC106041,01/05/2019 04:30:00 PM,015XX E 65TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,N,N,314,5,04B,1187763,1862200,41.776966074,-87.587210503,"(41.776966074, -87.587210503)"
JC112835,01/07/2019 11:30:00 AM,001XX N STATE ST,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,111,42,06,1176352,1900927,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
JC109400,01/08/2019 03:00:00 PM,004XX W 99TH ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,N,N,2232,9,26,1175068,1839260,41.714308662,-87.634432732,"(41.714308662, -87.634432732)"
JC110397,01/09/2019 11:37:00 AM,024XX S TROY ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1033,12,18,1155746,1887688,41.847610854,-87.70389993,"(41.847610854, -87.70389993)"
JC111024,01/09/2019 01:30:00 PM,001XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,111,42,11,1176330,1901657,41.885503844,-87.627935448,"(41.885503844, -87.627935448)"
JC105248,01/05/2019 02:00:00 AM,0000X E CERMAK RD,0460,BATTERY,SIMPLE,SIDEWALK,N,N,131,3,08B,1177406,1889770,41.852860859,-87.624344746,"(41.852860859, -87.624344746)"
JC107261,01/06/2019 07:55:00 PM,055XX W NORTH AVE,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,OTHER,N,N,2532,37,02,1139133,1910087,41.909394597,-87.764325755,"(41.909394597, -87.764325755)"
JC108547,01/07/2019 06:40:00 PM,011XX S SACRAMENTO BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1134,28,14,1156533,1894924,41.867451362,-87.700815978,"(41.867451362, -87.700815978)"
JC110585,01/09/2019 12:00:00 PM,053XX W DRUMMOND PL,0810,THEFT,OVER $500,RESIDENCE,N,Y,2514,31,06,1140395,1917109,41.928640666,-87.759517053,"(41.928640666, -87.759517053)"
JC108585,01/05/2019 12:30:00 PM,024XX N LONG AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2515,30,11,1139977,1915659,41.924669378,-87.761088644,"(41.924669378, -87.761088644)"
JC108446,01/07/2019 06:38:00 PM,005XX W SURF ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,Y,N,1934,44,26,1171979,1919392,41.934266643,-87.643389143,"(41.934266643, -87.643389143)"
JC109536,01/07/2019 08:30:00 PM,006XX E PERSHING RD,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,212,4,06,1181009,1879248,41.823905386,-87.611445334,"(41.823905386, -87.611445334)"
JC107620,01/07/2019 08:52:00 AM,004XX W DIVISION ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1821,27,06,1173175,1908290,41.903775756,-87.639324074,"(41.903775756, -87.639324074)"
JC107499,01/07/2019 03:20:00 AM,032XX N WESTERN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,1921,32,04B,1159836,1921652,41.940727712,-87.687951908,"(41.940727712, -87.687951908)"
JC111191,01/10/2019 12:30:00 AM,079XX S ST LOUIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,834,18,14,1154435,1851534,41.74842541,-87.709674015,"(41.74842541, -87.709674015)"
JC112997,01/11/2019 01:30:00 PM,031XX S KOSTNER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING",N,N,1031,22,26,1147562,1883379,41.835947057,-87.734045986,"(41.835947057, -87.734045986)"
JC108719,01/07/2019 11:09:00 PM,004XX N HOMAN AVE,5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,STREET,Y,N,1123,27,26,1153636,1902763,41.889020481,-87.71124278,"(41.889020481, -87.71124278)"
JC108790,01/07/2019 07:00:00 PM,016XX W OGDEN AVE,0810,THEFT,OVER $500,STREET,N,N,1224,28,06,1165214,1899264,41.879180745,-87.668823348,"(41.879180745, -87.668823348)"
JC106618,01/06/2019 07:25:00 AM,036XX N ELSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1733,33,08B,1153567,1924273,41.948047128,-87.710922869,"(41.948047128, -87.710922869)"
JC105153,01/04/2019 11:22:00 PM,016XX W 78TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,N,N,611,17,14,1166864,1852991,41.752167383,-87.664088112,"(41.752167383, -87.664088112)"
JC112769,01/11/2019 01:48:00 AM,077XX S SAGINAW AVE,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,RESIDENCE,N,N,421,7,17,1195264,1854250,41.754968838,-87.559974619,"(41.754968838, -87.559974619)"
JC107181,01/06/2019 05:48:00 PM,011XX N MONTICELLO AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,Y,N,1112,27,18,1151834,1907334,41.90159942,-87.71774003,"(41.90159942, -87.71774003)"
JC112372,01/11/2019 12:10:00 AM,051XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,N,N,1533,28,03,1142313,1899543,41.880402139,-87.752905714,"(41.880402139, -87.752905714)"
JC103948,01/04/2019 02:41:00 AM,012XX S KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1011,24,08B,1148580,1894032,41.865160698,-87.730035922,"(41.865160698, -87.730035922)"
JC104522,01/04/2019 12:45:00 PM,042XX W HADDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1111,37,08B,1147832,1907327,41.901658074,-87.732440134,"(41.901658074, -87.732440134)"
JC111881,01/10/2019 03:27:00 PM,0000X W QUINCY ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,RESTAURANT,N,N,113,42,03,1176355,1899215,41.878802294,-87.627917354,"(41.878802294, -87.627917354)"
JC108220,01/07/2019 04:22:00 PM,053XX N PAULINA ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,2012,40,26,1164025,1935727,41.979262564,-87.672156708,"(41.979262564, -87.672156708)"
JC113639,01/11/2019 11:40:00 PM,067XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,332,5,08B,1190367,1860770,41.772979649,-87.57771053,"(41.772979649, -87.57771053)"
JC113975,01/11/2019 12:00:00 AM,008XX S CLAREMONT AVE,0820,THEFT,$500 AND UNDER,OTHER,N,N,1225,28,06,1160850,1896208,41.870886401,-87.684931967,"(41.870886401, -87.684931967)"
JC106732,01/06/2019 11:10:00 AM,043XX S DR MARTIN LUTHER KING JR DR,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,N,Y,215,3,04B,1179580,1876374,41.816051729,-87.616775716,"(41.816051729, -87.616775716)"
JC104700,01/04/2019 04:45:00 PM,054XX N CLARK ST,0460,BATTERY,SIMPLE,OTHER,N,N,2013,48,08B,1165063,1936173,41.980464354,-87.668326665,"(41.980464354, -87.668326665)"
JC108912,01/08/2019 08:20:00 AM,008XX W MONROE ST,0460,BATTERY,SIMPLE,STREET,N,N,1232,27,08B,1170636,1899774,41.880463297,-87.648899877,"(41.880463297, -87.648899877)"
JC104481,01/04/2019 01:10:00 PM,002XX S STATE ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,N,N,113,42,11,1176411,1899396,41.879297705,-87.627706271,"(41.879297705, -87.627706271)"
JC113048,01/02/2019 03:00:00 PM,040XX W GLADYS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1132,28,26,1149493,1898049,41.876166158,-87.726580011,"(41.876166158, -87.726580011)"
JC105436,01/04/2019 03:30:00 PM,016XX E 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,332,5,14,1188642,1858271,41.7661636,-87.584113638,"(41.7661636, -87.584113638)"
JC108964,01/07/2019 02:40:00 PM,055XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1522,29,14,1139453,1898121,41.876552583,-87.763442166,"(41.876552583, -87.763442166)"
JC117243,01/11/2019 07:00:00 PM,072XX S UNION AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,732,6,05,1173001,1856896,41.762749991,-87.641483658,"(41.762749991, -87.641483658)"
JC113610,01/11/2019 11:19:00 PM,002XX W 43RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,925,3,04B,1175483,1876470,41.816407929,-87.631801368,"(41.816407929, -87.631801368)"
JC112434,01/10/2019 11:00:00 PM,009XX W WILSON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1914,46,26,1169208,1930735,41.965453015,-87.653241686,"(41.965453015, -87.653241686)"
JC111077,01/09/2019 09:00:00 AM,046XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1131,28,14,1145436,1898285,41.876891505,-87.741470097,"(41.876891505, -87.741470097)"
JC109699,01/08/2019 06:50:00 PM,019XX S KEDZIE AVE,0810,THEFT,OVER $500,CTA TRAIN,N,N,1022,24,06,1155340,1890122,41.854298185,-87.705324637,"(41.854298185, -87.705324637)"
JC109912,01/08/2019 09:55:00 PM,005XX W 103RD ST,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,SIDEWALK,N,N,2232,34,15,1174678,1836596,41.707006943,-87.635940086,"(41.707006943, -87.635940086)"
JC112346,01/10/2019 10:30:00 AM,0000X W KINZIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1831,42,14,1175704,1903008,41.88922516,-87.630193562,"(41.88922516, -87.630193562)"
JC104678,01/04/2019 04:48:00 PM,102XX S EMERALD AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENTIAL YARD (FRONT/BACK),N,N,2232,34,26,1173116,1836987,41.708114476,-87.641648602,"(41.708114476, -87.641648602)"
JC111847,01/10/2019 07:40:00 AM,036XX S WELLS ST,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",N,N,915,11,06,1175216,1880819,41.828347945,-87.632650679,"(41.828347945, -87.632650679)"
JC107600,01/06/2019 11:00:00 PM,045XX W WASHINGTON BLVD,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,1113,28,06,1146210,1900113,41.881893071,-87.73858166,"(41.881893071, -87.73858166)"
JC110121,01/08/2019 04:30:00 PM,097XX S THROOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2213,21,14,1169365,1840467,41.717745989,-87.655284613,"(41.717745989, -87.655284613)"
JC106236,01/05/2019 08:38:00 PM,0000X E 111TH ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,Y,N,513,9,11,1178585,1831378,41.692600301,-87.621790629,"(41.692600301, -87.621790629)"
JC107536,01/07/2019 05:50:00 AM,0000X E CHICAGO AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1833,42,08B,1176488,1905735,41.896690521,-87.627232016,"(41.896690521, -87.627232016)"
JC106656,01/05/2019 10:00:00 PM,020XX N SEDGWICK ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,1814,43,05,1173262,1913886,41.919129522,-87.638838066,"(41.919129522, -87.638838066)"
JC108215,01/07/2019 01:30:00 PM,048XX W FOSTER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1621,39,05,1142932,1934132,41.975306321,-87.749768372,"(41.975306321, -87.749768372)"
JC110090,01/09/2019 07:40:00 AM,040XX E 134TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,N,Y,433,10,14,1204544,1816604,41.651431329,-87.527258234,"(41.651431329, -87.527258234)"
JC112262,01/10/2019 08:50:00 PM,090XX S OGLESBY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,413,7,14,1193411,1845507,41.731022806,-87.567050524,"(41.731022806, -87.567050524)"
JC104218,01/04/2019 11:00:00 AM,001XX W 103RD ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,N,N,512,34,26,1176948,1836652,41.707109866,-87.627625722,"(41.707109866, -87.627625722)"
JC111381,01/09/2019 08:00:00 AM,073XX S RHODES AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,323,6,06,1181177,1856454,41.761352738,-87.611531109,"(41.761352738, -87.611531109)"
JC105554,01/05/2019 10:00:00 AM,035XX W LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1723,33,07,1151986,1931667,41.968368132,-87.716538684,"(41.968368132, -87.716538684)"
JC107713,01/07/2019 09:47:00 AM,016XX N LOTUS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,Y,2532,37,14,1139820,1910337,41.910068092,-87.761795863,"(41.910068092, -87.761795863)"
JC108780,01/08/2019 03:15:00 AM,101XX S COMMERCIAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,N,N,431,10,14,1197632,1838275,41.711073414,-87.551828329,"(41.711073414, -87.551828329)"
JC111301,01/08/2019 07:00:00 PM,073XX S CHAPPEL AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,333,7,06,1191155,1856608,41.761539757,-87.574956494,"(41.761539757, -87.574956494)"
JC110510,01/09/2019 11:30:00 AM,066XX S KOSTNER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,833,13,06,1148182,1860295,41.772589188,-87.732363219,"(41.772589188, -87.732363219)"
JC104842,01/04/2019 06:23:00 PM,132XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,N,N,533,9,04A,1185535,1817860,41.655344693,-87.596768776,"(41.655344693, -87.596768776)"
JC107368,01/06/2019 10:10:00 PM,029XX E 99TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,431,10,08A,1197620,1839873,41.715458769,-87.551819157,"(41.715458769, -87.551819157)"
JC117049,01/11/2019 08:13:00 PM,105XX S HOXIE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,N,434,10,02,1195198,1835684,41.70402373,-87.560827117,"(41.70402373, -87.560827117)"
JC115778,01/07/2019 12:00:00 PM,025XX N RICHMOND ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,1414,32,26,1156282,1916641,41.927049844,-87.70114997,"(41.927049844, -87.70114997)"
JC111684,01/10/2019 01:30:00 PM,015XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1424,1,06,1163150,1910297,41.909499762,-87.676091664,"(41.909499762, -87.676091664)"
JC107273,01/05/2019 09:00:00 PM,064XX N ARTESIAN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,N,N,2412,50,14,1158818,1942575,41.998162448,-87.691116986,"(41.998162448, -87.691116986)"
JC112907,01/11/2019 11:00:00 AM,051XX S CHRISTIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,822,14,14,1154914,1870324,41.799978497,-87.707417655,"(41.799978497, -87.707417655)"
JC115304,01/11/2019 08:00:00 PM,025XX N MC VICKER AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,2512,30,06,1135639,1916218,41.926281671,-87.777015283,"(41.926281671, -87.777015283)"
JC106501,01/06/2019 12:00:00 AM,037XX N SOUTHPORT AVE,0460,BATTERY,SIMPLE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",Y,N,1923,44,08B,1166305,1924886,41.949465853,-87.664083276,"(41.949465853, -87.664083276)"
JC107048,01/06/2019 04:25:00 PM,110XX S WENTWORTH AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,513,34,06,1176911,1831518,41.693022265,-87.627915204,"(41.693022265, -87.627915204)"
JC108237,01/07/2019 05:07:00 PM,020XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,N,N,714,16,01A,1164001,1862860,41.779309922,-87.674302688,"(41.779309922, -87.674302688)"
JC105337,01/05/2019 05:40:00 AM,112XX S KEDZIE AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,2211,19,08B,1157031,1830026,41.689351658,-87.700740377,"(41.689351658, -87.700740377)"
JC111610,01/09/2019 12:00:00 PM,034XX N OSAGE AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,N,N,1631,38,10,1122484,1921739,41.941656054,-87.825234579,"(41.941656054, -87.825234579)"
JC111942,01/05/2019 07:31:00 PM,042XX W ALTGELD ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,2524,31,08A,1147488,1916279,41.926229853,-87.733473719,"(41.926229853, -87.733473719)"
JC105636,01/04/2019 04:00:00 PM,023XX W HADDON AVE,0810,THEFT,OVER $500,STREET,N,N,1212,1,06,1160543,1907581,41.902101263,-87.685743972,"(41.902101263, -87.685743972)"
JC108034,01/06/2019 05:00:00 PM,003XX E 69TH ST,0610,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,322,20,05,1179879,1859348,41.769323968,-87.616199914,"(41.769323968, -87.616199914)"
JC109990,01/08/2019 09:45:00 PM,080XX S VERNON AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,631,6,06,1180638,1851847,41.748723023,-87.613647818,"(41.748723023, -87.613647818)"
JC107654,01/06/2019 09:40:00 PM,050XX S LAKE SHORE DR SB,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,222,5,08B,1189076,1871993,41.803807415,-87.58208345,"(41.803807415, -87.58208345)"
