CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC107207,01/06/2019 07:00:00 PM,075XX S SOUTH SHORE DR,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,APARTMENT,Y,N,421,7,03,1196126,1856148,41.76015578,-87.556752911,"(41.76015578, -87.556752911)"
JC100408,01/01/2019 03:30:00 AM,004XX W 24TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,TAVERN/LIQUOR STORE,Y,N,914,11,04A,1173417,1888352,41.849059202,-87.639027598,"(41.849059202, -87.639027598)"
JC162905,01/05/2019 06:00:00 PM,020XX N AUSTIN AVE,0810,THEFT,OVER $500,OTHER,N,N,2515,29,06,,,,,
JC109471,01/08/2019 03:50:00 PM,052XX S STATE ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",Y,N,225,3,08A,1177170,1870046,41.798741929,-87.62580711,"(41.798741929, -87.62580711)"
JC109528,01/08/2019 04:49:00 PM,005XX E 91ST ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,Y,N,633,9,03,1181390,1844757,41.729249955,-87.611110272,"(41.729249955, -87.611110272)"
JC107330,01/06/2019 08:58:00 PM,073XX S INDIANA AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,Y,N,323,6,04A,1178869,1856411,41.761287574,-87.619991359,"(41.761287574, -87.619991359)"
JC114749,01/09/2019 10:00:00 PM,073XX S HONORE ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,N,735,17,02,1165292,1855964,41.760359125,-87.669764783,"(41.760359125, -87.669764783)"
JC108007,01/06/2019 06:00:00 PM,060XX S KEELER AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,813,13,08B,1149405,1864239,41.783388621,-87.727778167,"(41.783388621, -87.727778167)"
JC115560,01/13/2019 03:25:00 PM,019XX E 73RD PL,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,333,7,08B,1190599,1856624,41.761597096,-87.576993735,"(41.761597096, -87.576993735)"
JC165325,01/13/2019 12:00:00 AM,006XX N MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1834,42,11,,,,,
JC165887,01/01/2019 08:00:00 PM,052XX S CALUMET AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,231,3,06,,,,,
JC154093,01/01/2019 06:46:00 PM,051XX W CONGRESS PKWY,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,STREET,Y,N,1533,29,24,1142059,1897192,41.873955407,-87.753896669,"(41.873955407, -87.753896669)"
JC112027,01/10/2019 12:01:00 AM,071XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,323,6,08B,1181139,1857892,41.765299634,-87.611626162,"(41.765299634, -87.611626162)"
JC165354,01/07/2019 07:00:00 PM,012XX N CENTRAL PARK AVE,0890,THEFT,FROM BUILDING,FACTORY/MANUFACTURING BUILDING,N,N,2535,26,06,,,,,
