ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,Demographi,Demograp_1,Demograp_2,Demograp_3,Demograp_4,Demograp_5,Demograp_6,Demograp_7,Demograp_8,Demograp_9,Demograp10,Demograp11,Demograp12,Demograp13,Demograp14,Demograp15,Demograp16,Demograp17,Demograp18,Demograp19,Demograp20,Demograp21,Demograp22,Demograp23,Demograp24,Demograp25,Demograp26,Demograp27,Demograp28,Demograp29,Demograp30,Demograp31,Demograp32,Demograp33,Demograp34,Demograp35,Demograp36,Demograp37,Demograp38,Demograp39,Demograp40,Demograp41,Demograp42,Demograp43,Demograp44,N_dirty_co,N_light_co,N_assaults
10128,0,New York,55748.00000,11011681.55682,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4
10023,0,New York,62800.00000,15212712.67816,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,7,5,0.71,2,0.29,0,0,7,100,0,0,3,0.43,0,0,1,0.14,0,0,3,0.43,0,0,0,0,7,100,0,0,7,1,0,0,0,0,7,100,5,0.71,2,0.29,0,0,7,100,14,9,10
11363,0,Little Neck,7060.00000,24242790.02350,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0
10028,0,New York,47530.00000,9842046.47970,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,4
11354,0,Flushing,58525.00000,61985147.45080,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,2,1,0.5,1,0.5,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2,100,11,51,20
11102,0,Astoria,33944.00000,19116258.43692,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,7
11370,0,East Elmhurst,40591.00000,23600231.48803,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0
10021,0,New York,45299.00000,10495133.40850,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3
11358,0,Flushing,37743.00000,54622541.08574,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,3
11362,0,Little Neck,17707.00000,54680551.21937,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1
